,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 02:23:00,9000.0,107.168,107.18,107.168,107.18,1001993.1824800001,107.167,107.179,107.166,107.179,37492.59373750014,0.0,0.0
2018-03-13 02:24:00,9000.0,107.166,107.172,107.162,107.168,1001975.1825250001,107.165,107.17,107.161,107.167,37492.59373750014,0.0,0.0
2018-03-13 02:25:00,9000.0,107.16,107.184,107.159,107.166,1001921.18266,107.159,107.182,107.158,107.165,37492.59373750014,0.0,0.0
2018-03-13 02:26:00,9000.0,107.163,107.166,107.16,107.16,1001948.1825925001,107.162,107.165,107.158,107.159,37492.59373750014,0.0,0.0
2018-03-13 02:27:00,9000.0,107.156,107.163,107.153,107.163,1001885.18275,107.155,107.162,107.151,107.162,37492.59373750014,0.0,0.0
2018-03-13 02:28:00,9000.0,107.148,107.157,107.147,107.156,1001813.1829300001,107.147,107.156,107.145,107.155,37492.59373750014,0.0,0.0
2018-03-13 02:29:00,9000.0,107.145,107.149,107.143,107.148,1001777.18302,107.143,107.148,107.141,107.147,37492.59373750014,0.0,0.0
2018-03-13 02:30:00,9000.0,107.156,107.158,107.144,107.145,1001867.1827950001,107.153,107.156,107.142,107.143,37492.59373750014,0.0,0.0
2018-03-13 02:31:00,9000.0,107.176,107.183,107.155,107.156,1002065.1823,107.175,107.182,107.153,107.153,37492.59373750014,0.0,0.0
2018-03-13 02:32:00,9000.0,107.163,107.18,107.16,107.176,1001948.1825925001,107.162,107.178,107.159,107.175,37492.59373750014,0.0,0.0
2018-03-13 02:33:00,9000.0,107.159,107.17,107.157,107.163,1001903.182705,107.157,107.167,107.155,107.162,37492.59373750014,0.0,0.0
2018-03-13 02:34:00,9000.0,107.157,107.16,107.155,107.159,1001894.1827275001,107.156,107.159,107.154,107.157,37492.59373750014,0.0,0.0
2018-03-13 02:35:00,9000.0,107.161,107.165,107.154,107.157,1001930.1826375,107.16,107.162,107.153,107.156,37492.59373750014,0.0,0.0
2018-03-13 02:36:00,9000.0,107.163,107.164,107.157,107.161,1001930.1826375,107.16,107.162,107.156,107.16,37492.59373750014,0.0,0.0
2018-03-13 02:37:00,9000.0,107.171,107.18,107.158,107.163,1002011.182435,107.169,107.178,107.157,107.16,37492.59373750014,0.0,0.0
2018-03-13 02:38:00,9000.0,107.149,107.175,107.147,107.171,1001822.1829075,107.148,107.174,107.146,107.169,37492.59373750014,0.0,0.0
2018-03-13 02:39:00,9000.0,107.152,107.152,107.146,107.149,1001849.18284,107.151,107.151,107.146,107.148,37492.59373750014,0.0,0.0
2018-03-13 02:40:00,9000.0,107.163,107.166,107.15,107.152,1001948.1825925001,107.162,107.167,107.149,107.151,37492.59373750014,0.0,0.0
2018-03-13 02:41:00,9000.0,107.16,107.169,107.158,107.163,1001921.18266,107.159,107.168,107.157,107.162,37492.59373750014,0.0,0.0
2018-03-13 02:42:00,9000.0,107.159,107.165,107.157,107.16,1001912.1826825001,107.158,107.164,107.155,107.159,37492.59373750014,0.0,0.0
2018-03-13 02:43:00,9000.0,107.158,107.168,107.156,107.159,1001903.182705,107.157,107.17,107.153,107.158,37492.59373750014,0.0,0.0
2018-03-13 02:44:00,9000.0,107.164,107.164,107.152,107.158,1001984.1825025,107.166,107.166,107.151,107.157,37492.59373750014,0.0,0.0
2018-03-13 02:45:00,9000.0,107.184,107.199,107.157,107.164,1002119.182165,107.181,107.196,107.157,107.166,37492.59373750014,0.0,0.0
2018-03-13 02:46:00,9000.0,107.181,107.189,107.17,107.184,1002101.18221,107.179,107.188,107.169,107.181,37492.59373750014,0.0,0.0
2018-03-13 02:47:00,9000.0,107.159,107.186,107.154,107.181,1001912.1826825001,107.158,107.184,107.153,107.179,37492.59373750014,0.0,0.0
2018-03-13 02:48:00,9000.0,107.166,107.171,107.159,107.159,1001975.1825250001,107.165,107.169,107.158,107.158,37492.59373750014,0.0,0.0
2018-03-13 02:49:00,9000.0,107.182,107.184,107.159,107.166,1002101.18221,107.179,107.182,107.158,107.165,37492.59373750014,0.0,0.0
2018-03-13 02:50:00,9000.0,107.194,107.196,107.181,107.182,1002227.181895,107.193,107.194,107.179,107.179,37492.59373750014,0.0,0.0
2018-03-13 02:51:00,9000.0,107.192,107.198,107.189,107.194,1002200.1819625,107.19,107.197,107.187,107.193,37492.59373750014,0.0,0.0
2018-03-13 02:52:00,9000.0,107.194,107.194,107.187,107.192,1002218.1819175,107.192,107.192,107.186,107.19,37492.59373750014,0.0,0.0
2018-03-13 02:53:00,9000.0,107.194,107.195,107.187,107.194,1002218.1819175,107.192,107.193,107.186,107.192,37492.59373750014,0.0,0.0
2018-03-13 02:54:00,9000.0,107.196,107.197,107.189,107.194,1002245.1818499999,107.195,107.196,107.187,107.192,37492.59373750014,0.0,0.0
2018-03-13 02:55:00,9000.0,107.199,107.201,107.193,107.196,1002263.1818050001,107.197,107.199,107.192,107.195,37492.59373750014,0.0,0.0
2018-03-13 02:56:00,9000.0,107.204,107.205,107.188,107.199,1002308.1816925,107.202,107.203,107.186,107.197,37492.59373750014,0.0,0.0
2018-03-13 02:57:00,9000.0,107.193,107.204,107.192,107.204,1002209.18194,107.191,107.202,107.189,107.202,37492.59373750014,0.0,0.0
2018-03-13 02:58:00,9000.0,107.193,107.199,107.193,107.193,1002209.18194,107.191,107.198,107.191,107.191,37492.59373750014,0.0,0.0
2018-03-13 02:59:00,9000.0,107.198,107.198,107.191,107.193,1002254.1818275,107.196,107.197,107.189,107.191,37492.59373750014,0.0,0.0
2018-03-13 03:00:00,9000.0,107.219,107.22,107.195,107.198,1002452.1813325001,107.218,107.219,107.193,107.196,37492.59373750014,0.0,0.0
2018-03-13 03:01:00,9000.0,107.214,107.224,107.213,107.219,1002407.181445,107.213,107.223,107.211,107.218,37492.59373750014,0.0,0.0
2018-03-13 03:02:00,9000.0,107.267,107.269,107.213,107.214,1002884.1802525001,107.266,107.267,107.212,107.213,37492.59373750014,0.0,0.0
2018-03-13 03:03:00,9000.0,107.278,107.278,107.262,107.267,1002983.1800050001,107.277,107.278,107.26,107.266,37492.59373750014,0.0,0.0
2018-03-13 03:04:00,9000.0,107.272,107.28,107.27,107.278,1002929.1801400001,107.271,107.279,107.268,107.277,37492.59373750014,0.0,0.0
2018-03-13 03:05:00,9000.0,107.265,107.273,107.264,107.272,1002848.1803425001,107.262,107.271,107.262,107.271,37492.59373750014,0.0,0.0
2018-03-13 03:06:00,9000.0,107.268,107.27,107.262,107.265,1002893.18023,107.267,107.269,107.262,107.262,37492.59373750014,0.0,0.0
